City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Mataura,NZ,-46.1927,168.8643,73.94,47,46,6.55,scattered clouds,2021-02-01 03:39:31
60,Honiara,SB,-9.4333,159.95,82.27,79,81,15.77,broken clouds,2021-02-01 03:40:48
61,Longyearbyen,SJ,78.2186,15.6401,6.8,33,75,12.66,broken clouds,2021-02-01 03:40:48
62,Leningradskiy,RU,69.3833,178.4167,-18.99,86,100,13.56,overcast clouds,2021-02-01 03:39:51
63,Kruisfontein,ZA,-34.0033,24.7314,62.01,94,73,1.01,broken clouds,2021-02-01 03:39:38
64,Cape Town,ZA,-33.9258,18.4232,64.0,72,0,21.85,clear sky,2021-02-01 03:36:27
65,Ust-Nera,RU,64.5667,143.2,-28.91,75,97,5.86,overcast clouds,2021-02-01 03:40:49
66,Alta Floresta,BR,-9.8756,-56.0861,71.17,94,40,0.51,scattered clouds,2021-02-01 03:40:49
67,Siyabuswa,ZA,-25.1132,29.0445,69.08,90,100,3.6,moderate rain,2021-02-01 03:40:49
68,Mapua,NZ,-41.25,173.1,79.0,45,3,3.0,clear sky,2021-02-01 03:40:49
69,Nikolskoye,RU,59.7035,30.7861,24.8,86,75,13.42,snow,2021-02-01 03:39:19
70,Barrow,US,71.2906,-156.7887,-16.6,76,1,11.5,clear sky,2021-02-01 03:39:30
71,Amparafaravola,MG,-17.5833,48.2167,68.72,90,48,3.67,scattered clouds,2021-02-01 03:40:49
72,Vilhena,BR,-12.7406,-60.1458,70.41,94,73,0.81,broken clouds,2021-02-01 03:35:50
73,Lagoa,PT,39.05,-27.9833,61.74,87,100,21.72,overcast clouds,2021-02-01 03:37:00
74,Nabire,ID,-3.3667,135.4833,85.28,69,99,3.04,overcast clouds,2021-02-01 03:40:50
75,Iqaluit,CA,63.7506,-68.5145,5.0,72,90,9.22,light snow,2021-02-01 03:40:28
76,Chapais,CA,49.7834,-74.8492,-13.0,84,1,2.95,clear sky,2021-02-01 03:39:40
77,Akyab,MM,20.15,92.9,72.46,25,0,7.38,clear sky,2021-02-01 03:40:50
78,Brazzaville,CG,-4.2658,15.2832,75.2,94,55,3.44,light rain,2021-02-01 03:40:50
79,Jawhar,SO,2.7809,45.5005,69.03,86,10,9.55,clear sky,2021-02-01 03:40:50
80,Mitu,CO,1.1983,-70.1733,72.23,97,100,1.03,overcast clouds,2021-02-01 03:40:51
81,Picota,PE,-6.9197,-76.3304,75.07,79,87,1.52,overcast clouds,2021-02-01 03:40:51
82,Ambon,ID,-3.6954,128.1814,89.6,66,40,9.22,light rain,2021-02-01 03:40:51
83,Saint-Augustin,CA,51.226,-58.6502,11.43,90,0,11.5,clear sky,2021-02-01 03:40:51
84,Lac Du Bonnet,CA,50.2536,-96.0612,12.24,97,100,4.61,overcast clouds,2021-02-01 03:40:52
85,Watertown,US,42.3709,-71.1828,23.0,73,1,2.46,clear sky,2021-02-01 03:38:56
86,Saint-Pierre,RE,-21.3393,55.4781,82.4,61,0,5.75,clear sky,2021-02-01 03:39:47
87,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,20.71,scattered clouds,2021-02-01 03:39:34
88,Tilichiki,RU,60.4667,166.1,0.52,94,100,13.4,overcast clouds,2021-02-01 03:40:18
89,Pevek,RU,69.7008,170.3133,-21.3,86,37,4.12,scattered clouds,2021-02-01 03:39:58
90,Sakaiminato,JP,35.55,133.2333,55.4,54,90,13.8,moderate rain,2021-02-01 03:40:52
91,Envira,BR,-7.3,-70.2167,70.39,98,100,1.43,overcast clouds,2021-02-01 03:40:52
92,Vila Velha,BR,-20.3297,-40.2925,78.01,83,40,6.91,scattered clouds,2021-02-01 03:39:55
93,Kaitangata,NZ,-46.2817,169.8464,66.99,61,7,8.99,clear sky,2021-02-01 03:39:46
94,Bredasdorp,ZA,-34.5322,20.0403,60.01,81,96,9.51,overcast clouds,2021-02-01 03:39:38
95,Namibe,AO,-15.1961,12.1522,71.24,77,91,5.95,overcast clouds,2021-02-01 03:37:15
96,Mahebourg,MU,-20.4081,57.7,82.4,74,40,11.5,light rain,2021-02-01 03:39:50
97,Hobart,AU,-42.8794,147.3294,79.0,53,75,11.5,broken clouds,2021-02-01 03:35:13
98,Ust-Abakan,RU,53.8525,91.3742,-20.2,76,35,2.24,mist,2021-02-01 03:40:53
99,Hami,CN,42.8,93.45,33.15,68,0,6.17,clear sky,2021-02-01 03:39:58
100,Tabou,CI,4.423,-7.3528,77.59,90,0,6.51,clear sky,2021-02-01 03:40:53
